user_input,retrieved_contexts,response,reference,faithfulness,answer_relevancy,llm_context_precision_without_reference,context_recall
Where is the HR department located?,"['Business travel must be approved by the reporting manager before bookings are made.\n\nTravel expenses such as flights, hotels, and local transportation are reimbursed according to company policy.\n\nEmployees should submit reimbursement claims within 15 days after completing business travel.\n\n--------------------------------------------------\nOffice Facilities\n--------------------------------------------------\n\nThe HR department is located on the third floor.', 'The HR department is located on the third floor.\n\nMeeting rooms can be booked through the internal booking portal.\n\nThe cafeteria operates from 8:00 AM to 7:00 PM.\n\nFree coffee, tea, and drinking water are available throughout the day.\n\nThe office provides free high-speed Wi-Fi for all employees.\n\n--------------------------------------------------\nResignation Policy\n--------------------------------------------------', 'HR Email:\nhr@abctechnologies.com\n\nIT Support:\nit-support@abctechnologies.com\n\nEmergency Contact:\n+91-1800-555-1234', 'Employees can access salary slips through the employee self-service portal.\n\nAny payroll-related concerns should be reported to the Finance department within five working days.\n\n--------------------------------------------------\nPerformance Reviews\n--------------------------------------------------\n\nPerformance reviews are conducted twice a year.\n\nEmployees are evaluated based on technical skills, teamwork, communication, ownership, and overall contribution to projects.', 'Leave requests should be submitted at least two working days in advance whenever possible.\n\nMedical leave extending beyond three consecutive days requires a medical certificate.\n\nUnused Casual Leave cannot be carried forward to the next year.\n\n--------------------------------------------------\nPayroll\n--------------------------------------------------\n\nSalary is credited on the last working day of every month.\n\nEmployees can access salary slips through the employee self-service portal.']",The HR department is located on the third floor.,The HR department is located on the third floor.,1.0,0.8695744788742968,0.99999999995,1.0
What are the office timings?,"['The standard working hours are from 9:00 AM to 6:00 PM, Monday through Friday.\n\nEmployees are expected to log in before 9:15 AM. Repeated late arrivals may be discussed with the reporting manager.\n\n--------------------------------------------------\nHybrid Work Policy\n--------------------------------------------------\n\nEmployees are allowed to work from home up to two days per week with prior approval from their reporting manager.', 'Employees working remotely must remain available during working hours and attend all scheduled meetings.\n\n--------------------------------------------------\nLeave Policy\n--------------------------------------------------\n\nEmployees receive the following leave benefits every calendar year:\n\n- 20 Casual Leave days\n- 10 Sick Leave days\n- 12 Public Holidays\n\nLeave requests should be submitted at least two working days in advance whenever possible.', ""Employee Handbook\n\nWelcome to ABC Technologies!\n\nWe are excited to have you as part of our team. This handbook provides an overview of the company's policies, work culture, and employee benefits.\n\n--------------------------------------------------\nOffice Hours\n--------------------------------------------------\n\nThe standard working hours are from 9:00 AM to 6:00 PM, Monday through Friday."", 'Leave requests should be submitted at least two working days in advance whenever possible.\n\nMedical leave extending beyond three consecutive days requires a medical certificate.\n\nUnused Casual Leave cannot be carried forward to the next year.\n\n--------------------------------------------------\nPayroll\n--------------------------------------------------\n\nSalary is credited on the last working day of every month.\n\nEmployees can access salary slips through the employee self-service portal.', 'Employees can access salary slips through the employee self-service portal.\n\nAny payroll-related concerns should be reported to the Finance department within five working days.\n\n--------------------------------------------------\nPerformance Reviews\n--------------------------------------------------\n\nPerformance reviews are conducted twice a year.\n\nEmployees are evaluated based on technical skills, teamwork, communication, ownership, and overall contribution to projects.']","The standard working hours are from 9:00 AM to 6:00 PM, Monday through Friday.",Office timings are from 9:00 AM to 6:00 PM.,1.0,0.7451231890723037,0.8333333332916666,1.0
How many casual leaves do employees receive every year?,"['Employees working remotely must remain available during working hours and attend all scheduled meetings.\n\n--------------------------------------------------\nLeave Policy\n--------------------------------------------------\n\nEmployees receive the following leave benefits every calendar year:\n\n- 20 Casual Leave days\n- 10 Sick Leave days\n- 12 Public Holidays\n\nLeave requests should be submitted at least two working days in advance whenever possible.', 'Leave requests should be submitted at least two working days in advance whenever possible.\n\nMedical leave extending beyond three consecutive days requires a medical certificate.\n\nUnused Casual Leave cannot be carried forward to the next year.\n\n--------------------------------------------------\nPayroll\n--------------------------------------------------\n\nSalary is credited on the last working day of every month.\n\nEmployees can access salary slips through the employee self-service portal.', 'Employees can access salary slips through the employee self-service portal.\n\nAny payroll-related concerns should be reported to the Finance department within five working days.\n\n--------------------------------------------------\nPerformance Reviews\n--------------------------------------------------\n\nPerformance reviews are conducted twice a year.\n\nEmployees are evaluated based on technical skills, teamwork, communication, ownership, and overall contribution to projects.', 'Employees are encouraged to complete at least two certification courses every year.\n\n--------------------------------------------------\nIT Policies\n--------------------------------------------------\n\nEach employee is assigned a company laptop during onboarding.\n\nInstalling unauthorized software is prohibited.\n\nCompany devices should always be protected with strong passwords and automatic screen lock.\n\nEmployees must immediately report lost or stolen devices to the IT department.', 'Outstanding performers may receive bonuses or salary revisions based on company policy.\n\n--------------------------------------------------\nTraining\n--------------------------------------------------\n\nEvery new employee must complete the mandatory onboarding program during the first week.\n\nThe company provides access to online learning platforms for technical and professional development.\n\nEmployees are encouraged to complete at least two certification courses every year.']",Employees receive 20 Casual Leave days every calendar year.,Employees receive 20 casual leaves every year.,1.0,0.8211047393985943,0.9999999999,1.0
Can employees work from home?,"['Employees working remotely must remain available during working hours and attend all scheduled meetings.\n\n--------------------------------------------------\nLeave Policy\n--------------------------------------------------\n\nEmployees receive the following leave benefits every calendar year:\n\n- 20 Casual Leave days\n- 10 Sick Leave days\n- 12 Public Holidays\n\nLeave requests should be submitted at least two working days in advance whenever possible.', 'The standard working hours are from 9:00 AM to 6:00 PM, Monday through Friday.\n\nEmployees are expected to log in before 9:15 AM. Repeated late arrivals may be discussed with the reporting manager.\n\n--------------------------------------------------\nHybrid Work Policy\n--------------------------------------------------\n\nEmployees are allowed to work from home up to two days per week with prior approval from their reporting manager.', 'Employees are encouraged to complete at least two certification courses every year.\n\n--------------------------------------------------\nIT Policies\n--------------------------------------------------\n\nEach employee is assigned a company laptop during onboarding.\n\nInstalling unauthorized software is prohibited.\n\nCompany devices should always be protected with strong passwords and automatic screen lock.\n\nEmployees must immediately report lost or stolen devices to the IT department.', 'Multi-factor authentication (MFA) is mandatory for all company accounts.\n\nPasswords should not be shared with anyone, including colleagues.\n\nEmployees should immediately report phishing emails or suspicious activity to the Information Security team.\n\n--------------------------------------------------\nCode of Conduct\n--------------------------------------------------\n\nAll employees are expected to maintain a professional and respectful workplace.', 'Outstanding performers may receive bonuses or salary revisions based on company policy.\n\n--------------------------------------------------\nTraining\n--------------------------------------------------\n\nEvery new employee must complete the mandatory onboarding program during the first week.\n\nThe company provides access to online learning platforms for technical and professional development.\n\nEmployees are encouraged to complete at least two certification courses every year.']","Yes, employees are allowed to work from home up to two days per week with prior approval from their reporting manager.",Employees can work from home two days a week with manager approval.,1.0,0.793427871857315,0.49999999995,1.0
How many days can employees work from home?,"['Employees working remotely must remain available during working hours and attend all scheduled meetings.\n\n--------------------------------------------------\nLeave Policy\n--------------------------------------------------\n\nEmployees receive the following leave benefits every calendar year:\n\n- 20 Casual Leave days\n- 10 Sick Leave days\n- 12 Public Holidays\n\nLeave requests should be submitted at least two working days in advance whenever possible.', 'The standard working hours are from 9:00 AM to 6:00 PM, Monday through Friday.\n\nEmployees are expected to log in before 9:15 AM. Repeated late arrivals may be discussed with the reporting manager.\n\n--------------------------------------------------\nHybrid Work Policy\n--------------------------------------------------\n\nEmployees are allowed to work from home up to two days per week with prior approval from their reporting manager.', 'Employees are encouraged to complete at least two certification courses every year.\n\n--------------------------------------------------\nIT Policies\n--------------------------------------------------\n\nEach employee is assigned a company laptop during onboarding.\n\nInstalling unauthorized software is prohibited.\n\nCompany devices should always be protected with strong passwords and automatic screen lock.\n\nEmployees must immediately report lost or stolen devices to the IT department.', 'Leave requests should be submitted at least two working days in advance whenever possible.\n\nMedical leave extending beyond three consecutive days requires a medical certificate.\n\nUnused Casual Leave cannot be carried forward to the next year.\n\n--------------------------------------------------\nPayroll\n--------------------------------------------------\n\nSalary is credited on the last working day of every month.\n\nEmployees can access salary slips through the employee self-service portal.', 'Multi-factor authentication (MFA) is mandatory for all company accounts.\n\nPasswords should not be shared with anyone, including colleagues.\n\nEmployees should immediately report phishing emails or suspicious activity to the Information Security team.\n\n--------------------------------------------------\nCode of Conduct\n--------------------------------------------------\n\nAll employees are expected to maintain a professional and respectful workplace.']",Employees are allowed to work from home up to two days per week with prior approval from their reporting manager.,Employees can work from home two days a week with manager approval.,1.0,0.748846181334844,0.49999999995,1.0
When should leave requests be submitted?,"['Leave requests should be submitted at least two working days in advance whenever possible.\n\nMedical leave extending beyond three consecutive days requires a medical certificate.\n\nUnused Casual Leave cannot be carried forward to the next year.\n\n--------------------------------------------------\nPayroll\n--------------------------------------------------\n\nSalary is credited on the last working day of every month.\n\nEmployees can access salary slips through the employee self-service portal.', 'Employees working remotely must remain available during working hours and attend all scheduled meetings.\n\n--------------------------------------------------\nLeave Policy\n--------------------------------------------------\n\nEmployees receive the following leave benefits every calendar year:\n\n- 20 Casual Leave days\n- 10 Sick Leave days\n- 12 Public Holidays\n\nLeave requests should be submitted at least two working days in advance whenever possible.', 'Employees can access salary slips through the employee self-service portal.\n\nAny payroll-related concerns should be reported to the Finance department within five working days.\n\n--------------------------------------------------\nPerformance Reviews\n--------------------------------------------------\n\nPerformance reviews are conducted twice a year.\n\nEmployees are evaluated based on technical skills, teamwork, communication, ownership, and overall contribution to projects.', 'Business travel must be approved by the reporting manager before bookings are made.\n\nTravel expenses such as flights, hotels, and local transportation are reimbursed according to company policy.\n\nEmployees should submit reimbursement claims within 15 days after completing business travel.\n\n--------------------------------------------------\nOffice Facilities\n--------------------------------------------------\n\nThe HR department is located on the third floor.', 'Employees are required to provide a notice period of 60 days before leaving the company.\n\nDuring the notice period, employees are expected to complete knowledge transfer and hand over assigned responsibilities.\n\nCompany-issued assets including laptops, ID cards, and access cards must be returned before the final working day.\n\n--------------------------------------------------\nContact Information\n--------------------------------------------------\n\nHR Email:\nhr@abctechnologies.com']",Leave requests should be submitted at least two working days in advance whenever possible.,Employees should submit leave requests at least two days in advance.,1.0,0.8275139229071434,0.99999999995,1.0
How often are performance reviews conducted?,"['Employees can access salary slips through the employee self-service portal.\n\nAny payroll-related concerns should be reported to the Finance department within five working days.\n\n--------------------------------------------------\nPerformance Reviews\n--------------------------------------------------\n\nPerformance reviews are conducted twice a year.\n\nEmployees are evaluated based on technical skills, teamwork, communication, ownership, and overall contribution to projects.', 'Outstanding performers may receive bonuses or salary revisions based on company policy.\n\n--------------------------------------------------\nTraining\n--------------------------------------------------\n\nEvery new employee must complete the mandatory onboarding program during the first week.\n\nThe company provides access to online learning platforms for technical and professional development.\n\nEmployees are encouraged to complete at least two certification courses every year.', 'Employees are encouraged to complete at least two certification courses every year.\n\n--------------------------------------------------\nIT Policies\n--------------------------------------------------\n\nEach employee is assigned a company laptop during onboarding.\n\nInstalling unauthorized software is prohibited.\n\nCompany devices should always be protected with strong passwords and automatic screen lock.\n\nEmployees must immediately report lost or stolen devices to the IT department.', 'Leave requests should be submitted at least two working days in advance whenever possible.\n\nMedical leave extending beyond three consecutive days requires a medical certificate.\n\nUnused Casual Leave cannot be carried forward to the next year.\n\n--------------------------------------------------\nPayroll\n--------------------------------------------------\n\nSalary is credited on the last working day of every month.\n\nEmployees can access salary slips through the employee self-service portal.', 'Employees working remotely must remain available during working hours and attend all scheduled meetings.\n\n--------------------------------------------------\nLeave Policy\n--------------------------------------------------\n\nEmployees receive the following leave benefits every calendar year:\n\n- 20 Casual Leave days\n- 10 Sick Leave days\n- 12 Public Holidays\n\nLeave requests should be submitted at least two working days in advance whenever possible.']",Performance reviews are conducted twice a year.,Performance reviews are conducted twice a year.,1.0,0.8472867890344113,0.9999999999,1.0
Where should employees submit expense reimbursement requests?,"['Business travel must be approved by the reporting manager before bookings are made.\n\nTravel expenses such as flights, hotels, and local transportation are reimbursed according to company policy.\n\nEmployees should submit reimbursement claims within 15 days after completing business travel.\n\n--------------------------------------------------\nOffice Facilities\n--------------------------------------------------\n\nThe HR department is located on the third floor.', 'Employees can access salary slips through the employee self-service portal.\n\nAny payroll-related concerns should be reported to the Finance department within five working days.\n\n--------------------------------------------------\nPerformance Reviews\n--------------------------------------------------\n\nPerformance reviews are conducted twice a year.\n\nEmployees are evaluated based on technical skills, teamwork, communication, ownership, and overall contribution to projects.', 'All employees are expected to maintain a professional and respectful workplace.\n\nHarassment, discrimination, and inappropriate behavior will not be tolerated.\n\nEmployees should communicate respectfully with colleagues, clients, and partners.\n\n--------------------------------------------------\nTravel Policy\n--------------------------------------------------\n\nBusiness travel must be approved by the reporting manager before bookings are made.', 'Leave requests should be submitted at least two working days in advance whenever possible.\n\nMedical leave extending beyond three consecutive days requires a medical certificate.\n\nUnused Casual Leave cannot be carried forward to the next year.\n\n--------------------------------------------------\nPayroll\n--------------------------------------------------\n\nSalary is credited on the last working day of every month.\n\nEmployees can access salary slips through the employee self-service portal.', 'Employees are encouraged to complete at least two certification courses every year.\n\n--------------------------------------------------\nIT Policies\n--------------------------------------------------\n\nEach employee is assigned a company laptop during onboarding.\n\nInstalling unauthorized software is prohibited.\n\nCompany devices should always be protected with strong passwords and automatic screen lock.\n\nEmployees must immediately report lost or stolen devices to the IT department.']",I couldn't find that information in the uploaded documents.,Expense reimbursement requests should be submitted through the HR portal.,1.0,0.0,0.699999999965,0.0
Who should employees contact regarding payroll issues?,"['Employees can access salary slips through the employee self-service portal.\n\nAny payroll-related concerns should be reported to the Finance department within five working days.\n\n--------------------------------------------------\nPerformance Reviews\n--------------------------------------------------\n\nPerformance reviews are conducted twice a year.\n\nEmployees are evaluated based on technical skills, teamwork, communication, ownership, and overall contribution to projects.', 'Leave requests should be submitted at least two working days in advance whenever possible.\n\nMedical leave extending beyond three consecutive days requires a medical certificate.\n\nUnused Casual Leave cannot be carried forward to the next year.\n\n--------------------------------------------------\nPayroll\n--------------------------------------------------\n\nSalary is credited on the last working day of every month.\n\nEmployees can access salary slips through the employee self-service portal.', 'HR Email:\nhr@abctechnologies.com\n\nIT Support:\nit-support@abctechnologies.com\n\nEmergency Contact:\n+91-1800-555-1234', 'Business travel must be approved by the reporting manager before bookings are made.\n\nTravel expenses such as flights, hotels, and local transportation are reimbursed according to company policy.\n\nEmployees should submit reimbursement claims within 15 days after completing business travel.\n\n--------------------------------------------------\nOffice Facilities\n--------------------------------------------------\n\nThe HR department is located on the third floor.', 'All employees are expected to maintain a professional and respectful workplace.\n\nHarassment, discrimination, and inappropriate behavior will not be tolerated.\n\nEmployees should communicate respectfully with colleagues, clients, and partners.\n\n--------------------------------------------------\nTravel Policy\n--------------------------------------------------\n\nBusiness travel must be approved by the reporting manager before bookings are made.']",Any payroll-related concerns should be reported to the Finance department within five working days.,Employees should contact the HR department regarding payroll issues.,1.0,0.8102963609177493,0.9999999999,0.0
What dress code should employees follow?,"['All employees are expected to maintain a professional and respectful workplace.\n\nHarassment, discrimination, and inappropriate behavior will not be tolerated.\n\nEmployees should communicate respectfully with colleagues, clients, and partners.\n\n--------------------------------------------------\nTravel Policy\n--------------------------------------------------\n\nBusiness travel must be approved by the reporting manager before bookings are made.', 'Multi-factor authentication (MFA) is mandatory for all company accounts.\n\nPasswords should not be shared with anyone, including colleagues.\n\nEmployees should immediately report phishing emails or suspicious activity to the Information Security team.\n\n--------------------------------------------------\nCode of Conduct\n--------------------------------------------------\n\nAll employees are expected to maintain a professional and respectful workplace.', 'Employees are encouraged to complete at least two certification courses every year.\n\n--------------------------------------------------\nIT Policies\n--------------------------------------------------\n\nEach employee is assigned a company laptop during onboarding.\n\nInstalling unauthorized software is prohibited.\n\nCompany devices should always be protected with strong passwords and automatic screen lock.\n\nEmployees must immediately report lost or stolen devices to the IT department.', 'Employees must immediately report lost or stolen devices to the IT department.\n\n--------------------------------------------------\nInformation Security\n--------------------------------------------------\n\nCompany information should never be shared with unauthorized individuals.\n\nEmployees must not store confidential company documents on personal cloud storage services.\n\nMulti-factor authentication (MFA) is mandatory for all company accounts.', ""Employee Handbook\n\nWelcome to ABC Technologies!\n\nWe are excited to have you as part of our team. This handbook provides an overview of the company's policies, work culture, and employee benefits.\n\n--------------------------------------------------\nOffice Hours\n--------------------------------------------------\n\nThe standard working hours are from 9:00 AM to 6:00 PM, Monday through Friday.""]",I couldn't find that information in the uploaded documents.,Employees should follow the company's business casual dress code.,1.0,0.0,0.999999999975,0.0
